financial_year,port,million_tonnes,cargo_type
1995-96,Sydney,3.7617532000000002,Loaded
1996-97,Sydney,4.7277676,Loaded
1997-98,Sydney,5.147583900000001,Loaded
1998-99,Sydney,4.283658900000001,Loaded
1999-00,Sydney,5.0903135,Loaded
2000-01,Sydney,5.7871666,Loaded
2001-02,Sydney,5.71476,Loaded
2002-03,Sydney,4.6737928,Loaded
2003-04,Sydney,5.0,Loaded
2004-05,Sydney,5.137014,Loaded
2005-06,Sydney,6.0048322384,Loaded
2006-07,Sydney,5.9590502194,Loaded
2007-08,Sydney,6.4459724918,Loaded
2008-09,Sydney,6.3217721663,Loaded
2009-10,Sydney,6.074841211200001,Loaded
2010-11,Sydney,6.5841955924,Loaded
2011-12,Sydney,7.32313393416,Loaded
2012-13,Sydney,6.63522576672,Loaded
2013-14,Sydney,6.14470630085,Loaded
2014-15,Sydney,5.68464099194511,Loaded
2015-16,Sydney,5.82181754365,Loaded
2016-17,Sydney,6.77677371134,Loaded
2017-18,Sydney,6.14098543891,Loaded
2018-19,Sydney,5.90384361489,Loaded
2019-20,Sydney,5.49841988836,Loaded
2020-21,Sydney,5.60136027006,Loaded
1995-96,Melbourne,7.7242419,Loaded
1996-97,Melbourne,8.76513,Loaded
1997-98,Melbourne,9.7896423,Loaded
1998-99,Melbourne,9.4527339,Loaded
1999-00,Melbourne,10.457822,Loaded
2000-01,Melbourne,11.058185,Loaded
2001-02,Melbourne,11.926317,Loaded
2002-03,Melbourne,10.805459,Loaded
2003-04,Melbourne,11.4,Loaded
2004-05,Melbourne,11.807376,Loaded
2005-06,Melbourne,12.798106855,Loaded
2006-07,Melbourne,11.3026904254,Loaded
2007-08,Melbourne,11.4776936964,Loaded
2008-09,Melbourne,12.205887977399998,Loaded
2009-10,Melbourne,12.268139312,Loaded
2010-11,Melbourne,13.367127858999998,Loaded
2011-12,Melbourne,15.10333033095,Loaded
2012-13,Melbourne,14.85832361893,Loaded
2013-14,Melbourne,14.97189375904,Loaded
2014-15,Melbourne,14.09602403346,Loaded
2015-16,Melbourne,13.25802372422,Loaded
2016-17,Melbourne,14.9482623361,Loaded
2017-18,Melbourne,15.462763246,Loaded
2018-19,Melbourne,13.14518613229,Loaded
2019-20,Melbourne,13.59586713242,Loaded
2020-21,Melbourne,14.67034051833,Loaded
1995-96,Brisbane,9.4359745,Loaded
1996-97,Brisbane,10.277043,Loaded
1997-98,Brisbane,9.694186199999999,Loaded
1998-99,Brisbane,9.726393400000001,Loaded
1999-00,Brisbane,10.746793,Loaded
2000-01,Brisbane,11.376311,Loaded
2001-02,Brisbane,11.587855,Loaded
2002-03,Brisbane,11.043372,Loaded
2003-04,Brisbane,10.8,Loaded
2004-05,Brisbane,11.501254000000001,Loaded
2005-06,Brisbane,12.091368306,Loaded
2006-07,Brisbane,11.586195353199999,Loaded
2007-08,Brisbane,13.445990311999998,Loaded
2008-09,Brisbane,15.336382772999999,Loaded
2009-10,Brisbane,15.253371355,Loaded
2010-11,Brisbane,15.384427675,Loaded
2011-12,Brisbane,19.16407489498,Loaded
2012-13,Brisbane,19.37914627561,Loaded
2013-14,Brisbane,16.99228507228,Loaded
2014-15,Brisbane,16.02201716459,Loaded
2015-16,Brisbane,13.61095823709,Loaded
2016-17,Brisbane,15.1499332182,Loaded
2017-18,Brisbane,14.43611438313,Loaded
2018-19,Brisbane,13.13950720871,Loaded
2019-20,Brisbane,11.6566579615,Loaded
2020-21,Brisbane,11.1268502179,Loaded
1995-96,Adelaide,3.4475162000000004,Loaded
1996-97,Adelaide,4.3866705,Loaded
1997-98,Adelaide,3.9573028999999997,Loaded
1998-99,Adelaide,4.1598815,Loaded
1999-00,Adelaide,4.553125400000001,Loaded
2000-01,Adelaide,5.3289757,Loaded
2001-02,Adelaide,5.9981883,Loaded
2002-03,Adelaide,5.310933,Loaded
