financial_year,port,teu
twenty foot equivalent units (TEU) exchanged,Melbourne,
1993-94,Melbourne,801344.0
1994-95,Melbourne,880151.0
1995-96,Melbourne,923142.0
1996-97,Melbourne,984394.0
1997-98,Melbourne,1040810.0
1998-99,Melbourne,1121161.0
1999-00,Melbourne,1287795.0
2000-01,Melbourne,1316665.0
2001-02,Melbourne,1420781.0
2002-03,Melbourne,1593798.0
2003-04,Melbourne,1717718.0
2004-05,Melbourne,1910441.0
2005-06,Melbourne,1929925.0
2006-07,Melbourne,2093611.0
2007-08,Melbourne,2256644.0
2008-09,Melbourne,2157352.0
2009-10,Melbourne,2236635.0
2010-11,Melbourne,2392974.0
2011-12,Melbourne,2579098.0
2012-13,Melbourne,2512926.0
2013-14,Melbourne,2532669.0
2014-15,Melbourne,2578839.0
2015-16,Melbourne,2638536.0
2016-17,Melbourne,2697068.0
2017-18,Melbourne,2929338.0
2018-19,Melbourne,3018612.0
2019-20,Melbourne,2880791.0
2020-21,Melbourne,3293375.0
2021-22,Melbourne,3232517.0
2022-23,Melbourne,3188434.0
2023-24,Melbourne,3264692.0
2024-25,Melbourne,3385743.0
"Sources: BITRE, Waterline 71 (forthcoming)",Melbourne,
BITRE estimates,Melbourne,
twenty foot equivalent units (TEU) exchanged,Sydney,
1993-94,Sydney,587670.0
1994-95,Sydney,666586.0
1995-96,Sydney,684714.0
1996-97,Sydney,730446.0
1997-98,Sydney,798209.0
1998-99,Sydney,878580.0
1999-00,Sydney,1010509.0
2000-01,Sydney,988967.0
2001-02,Sydney,1009453.0
2002-03,Sydney,1160513.0
2003-04,Sydney,1270256.0
2004-05,Sydney,1375610.0
2005-06,Sydney,1445465.0
2006-07,Sydney,1620121.0
2007-08,Sydney,1778425.0
2008-09,Sydney,1783920.0
2009-10,Sydney,1927520.0
2010-11,Sydney,2020151.0
2011-12,Sydney,2036064.0
2012-13,Sydney,2126284.0
2013-14,Sydney,2206401.0
2014-15,Sydney,2289673.0
2015-16,Sydney,2323722.0
2016-17,Sydney,2431013.0
2017-18,Sydney,2613361.0
2018-19,Sydney,2639852.0
2019-20,Sydney,2494368.0
2020-21,Sydney,2704257.0
2021-22,Sydney,2796679.0
2022-23,Sydney,2726263.0
2023-24,Sydney,2736725.0
2024-25,Sydney,2814905.0
"Sources: BITRE, Waterline 71 (forthcoming)",Sydney,
BITRE estimates,Sydney,
twenty foot equivalent units (TEU) exchanged,Brisbane,
1993-94,Brisbane,228055.0
1994-95,Brisbane,232693.0
1995-96,Brisbane,249439.0
1996-97,Brisbane,272632.0
1997-98,Brisbane,317568.0
1998-99,Brisbane,357703.0
1999-00,Brisbane,414449.0
2000-01,Brisbane,453257.0
2001-02,Brisbane,481623.0
2002-03,Brisbane,570204.0
2003-04,Brisbane,639272.0
2004-05,Brisbane,726147.0
2005-06,Brisbane,766278.0
2006-07,Brisbane,875045.0
2007-08,Brisbane,940760.0
2008-09,Brisbane,896167.0
2009-10,Brisbane,919242.0
2010-11,Brisbane,978815.0
2011-12,Brisbane,1025069.0
2012-13,Brisbane,1069881.0
2013-14,Brisbane,1097365.0
2014-15,Brisbane,1138706.0
2015-16,Brisbane,1147173.0
2016-17,Brisbane,1224829.0
2017-18,Brisbane,1349471.0
2018-19,Brisbane,1342075.0
2019-20,Brisbane,1303513.0
2020-21,Brisbane,1494772.0
2021-22,Brisbane,1536467.0
2022-23,Brisbane,1556953.0
2023-24,Brisbane,1609472.0
2024-25,Brisbane,1619956.0
"Sources: BITRE, Waterline 71 (forthcoming)",Brisbane,
BITRE estimates,Brisbane,
twenty foot equivalent units (TEU) exchanged,Fremantle,
1993-94,Fremantle,169174.0
1994-95,Fremantle,189272.0
1995-96,Fremantle,202680.0
1996-97,Fremantle,209564.0
1997-98,Fremantle,250802.0
1998-99,Fremantle,275697.0
1999-00,Fremantle,297363.0
2000-01,Fremantle,354144.0
2001-02,Fremantle,381809.0
2002-03,Fremantle,431342.0
2003-04,Fremantle,457305.0
2004-05,Fremantle,467313.0
2005-06,Fremantle,455428.0
2006-07,Fremantle,505082.0
2007-08,Fremantle,573527.0
2008-09,Fremantle,565491.0
2009-10,Fremantle,557039.0
2010-11,Fremantle,598250.0
2011-12,Fremantle,656918.0
2012-13,Fremantle,670296.0
2013-14,Fremantle,703081.0
2014-15,Fremantle,743562.0
2015-16,Fremantle,715107.0
2016-17,Fremantle,715933.0
2017-18,Fremantle,768246.0
2018-19,Fremantle,786388.0
2019-20,Fremantle,783437.0
2020-21,Fremantle,803918.0
2021-22,Fremantle,792021.0
2022-23,Fremantle,809709.0
2023-24,Fremantle,855202.0
2024-25,Fremantle,885720.0
"Sources: BITRE, Waterline 71 (forthcoming)",Fremantle,
BITRE estimates,Fremantle,
twenty foot equivalent units (TEU) exchanged,Adelaide,
1993-94,Adelaide,64619.0
1994-95,Adelaide,66525.0
1995-96,Adelaide,69355.0
1996-97,Adelaide,88497.0
1997-98,Adelaide,107912.0
1998-99,Adelaide,120586.0
1999-00,Adelaide,115506.0
2000-01,Adelaide,133236.0
2001-02,Adelaide,145226.0
2002-03,Adelaide,148333.0
2003-04,Adelaide,169108.0
2004-05,Adelaide,170585.0
2005-06,Adelaide,189391.0
2006-07,Adelaide,219117.0
2007-08,Adelaide,280121.0
2008-09,Adelaide,276545.0
2009-10,Adelaide,274501.0
2010-11,Adelaide,297701.0
2011-12,Adelaide,323834.0
2012-13,Adelaide,339061.0
2013-14,Adelaide,382681.0
2014-15,Adelaide,365874.0
2015-16,Adelaide,389684.0
2016-17,Adelaide,395276.0
2017-18,Adelaide,407059.0
2018-19,Adelaide,410970.0
2019-20,Adelaide,415986.0
2020-21,Adelaide,396481.0
2021-22,Adelaide,383848.0
2022-23,Adelaide,367977.0
2023-24,Adelaide,400178.0
2024-25,Adelaide,412656.0
"Sources: BITRE, Waterline 71 (forthcoming)",Adelaide,
BITRE estimates,Adelaide,
