container_id,container_type_id,branch_id,acquisition_date,asset_value,status
CT0001,T003,B002,2021-06-11,14000,Idle
CT0002,T004,B002,2019-11-15,22000,Idle
CT0003,T001,B004,2019-10-26,4500,Active
CT0004,T003,B002,2023-06-22,14000,Active
CT0005,T003,B002,2022-06-20,14000,Active
CT0006,T004,B004,2022-02-04,22000,Active
CT0007,T001,B004,2021-02-10,4500,Idle
CT0008,T001,B001,2023-01-28,4500,Active
CT0009,T003,B005,2022-03-01,14000,Active
CT0010,T002,B005,2024-10-25,7500,Active
CT0011,T003,B002,2019-07-18,14000,Active
CT0012,T003,B005,2021-07-15,14000,Active
CT0013,T003,B002,2022-06-25,14000,Active
CT0014,T003,B001,2019-11-30,14000,Active
CT0015,T004,B004,2023-12-01,22000,Active
CT0016,T001,B004,2018-01-02,4500,Active
CT0017,T004,B004,2019-10-04,22000,Active
CT0018,T004,B005,2024-03-17,22000,Active
CT0019,T004,B001,2022-05-09,22000,Active
CT0020,T003,B005,2020-05-04,14000,Active
CT0021,T002,B005,2022-10-26,7500,Idle
CT0022,T001,B001,2024-08-29,4500,Active
CT0023,T002,B001,2022-07-20,7500,Idle
CT0024,T004,B001,2021-02-27,22000,Active
CT0025,T004,B001,2020-12-12,22000,Active
CT0026,T002,B004,2022-09-04,7500,Active
CT0027,T002,B003,2025-08-09,7500,Active
CT0028,T002,B003,2022-08-23,7500,Maintenance
CT0029,T004,B001,2022-09-30,22000,Active
CT0030,T004,B003,2021-12-10,22000,Active
CT0031,T001,B003,2024-04-13,4500,Active
CT0032,T001,B001,2020-04-15,4500,Active
CT0033,T004,B003,2018-07-22,22000,Active
CT0034,T002,B005,2018-05-03,7500,Idle
CT0035,T002,B002,2019-02-05,7500,Active
CT0036,T001,B002,2020-02-06,4500,Active
CT0037,T004,B001,2018-10-21,22000,Maintenance
CT0038,T001,B004,2024-05-16,4500,Active
CT0039,T001,B001,2018-07-17,4500,Idle
CT0040,T003,B004,2023-04-15,14000,Active
CT0041,T003,B002,2025-08-31,14000,Active
CT0042,T003,B001,2024-01-01,14000,Active
CT0043,T002,B005,2019-09-01,7500,Idle
CT0044,T004,B003,2021-02-21,22000,Active
CT0045,T004,B004,2018-07-06,22000,Active
CT0046,T004,B003,2024-11-16,22000,Active
CT0047,T004,B003,2022-11-30,22000,Active
CT0048,T003,B001,2019-10-22,14000,Active
CT0049,T002,B003,2025-09-12,7500,Active
CT0050,T002,B005,2023-05-10,7500,Active
CT0051,T003,B003,2024-09-16,14000,Maintenance
CT0052,T002,B001,2021-10-01,7500,Idle
CT0053,T003,B005,2023-06-10,14000,Active
CT0054,T004,B002,2022-03-15,22000,Active
CT0055,T003,B003,2018-05-27,14000,Active
CT0056,T004,B001,2025-12-21,22000,Active
CT0057,T004,B002,2022-10-01,22000,Active
CT0058,T001,B002,2023-01-18,4500,Active
CT0059,T003,B004,2019-05-04,14000,Active
CT0060,T001,B005,2023-05-14,4500,Maintenance
CT0061,T003,B003,2022-07-22,14000,Active
CT0062,T003,B001,2025-02-11,14000,Active
CT0063,T001,B004,2024-07-13,4500,Active
CT0064,T001,B005,2025-12-29,4500,Active
CT0065,T003,B004,2019-10-03,14000,Active
CT0066,T002,B005,2022-12-08,7500,Active
CT0067,T004,B005,2024-11-25,22000,Active
CT0068,T001,B003,2023-05-24,4500,Active
CT0069,T004,B005,2024-01-08,22000,Active
CT0070,T002,B004,2021-12-09,7500,Active
CT0071,T002,B005,2022-06-23,7500,Active
CT0072,T002,B003,2018-09-20,7500,Active
CT0073,T001,B003,2022-11-23,4500,Active
CT0074,T002,B004,2024-01-01,7500,Active
CT0075,T001,B002,2024-07-21,4500,Maintenance
CT0076,T002,B002,2019-09-16,7500,Active
CT0077,T004,B005,2020-10-13,22000,Active
CT0078,T004,B001,2020-05-30,22000,Active
CT0079,T003,B005,2023-08-12,14000,Active
CT0080,T004,B004,2021-08-20,22000,Active
CT0081,T003,B004,2024-04-20,14000,Active
CT0082,T004,B004,2019-03-29,22000,Idle
CT0083,T001,B004,2021-03-29,4500,Maintenance
CT0084,T004,B004,2023-08-19,22000,Maintenance
CT0085,T003,B003,2022-08-10,14000,Active
CT0086,T003,B002,2025-11-03,14000,Active
CT0087,T002,B004,2024-03-05,7500,Active
CT0088,T001,B001,2021-02-28,4500,Active
CT0089,T004,B001,2019-02-08,22000,Active
CT0090,T002,B001,2024-01-09,7500,Maintenance
CT0091,T004,B001,2023-10-03,22000,Active
CT0092,T004,B003,2022-08-24,22000,Idle
CT0093,T002,B001,2019-09-20,7500,Active
CT0094,T002,B004,2019-08-10,7500,Maintenance
CT0095,T002,B005,2022-07-07,7500,Active
CT0096,T002,B001,2021-12-14,7500,Active
CT0097,T002,B003,2021-12-16,7500,Active
CT0098,T004,B003,2018-04-14,22000,Active
CT0099,T002,B001,2018-09-11,7500,Active
CT0100,T001,B005,2025-01-01,4500,Idle
