hire_id,customer_id,container_id,hire_start_date,hire_days,hire_end_date,container_type_id,branch_id,daily_rate,hire_revenue,transport_revenue,total_revenue,operating_cost_per_day,operating_cost,transport_cost_pct,transport_cost,total_cost,gross_margin,gross_margin_pct,acquisition_date,maintenance_cost,profitability_status
H00275,C009,CT0001,2024-03-24,48,2024-05-11,T003,B002,22,1056,339,1395,7.0,336.0,0.7561337020217581,256.33,592.3299999999999,802.6700000000001,57.54,2021-06-11,0,Profitable
H00186,C006,CT0001,2024-07-09,105,2024-10-22,T003,B002,22,2310,209,2519,7.0,735.0,0.7933643474940433,165.81,950.81,1568.19,62.25,2021-06-11,50,Profitable
H00245,C001,CT0001,2024-10-23,33,2024-11-25,T003,B002,22,726,410,1136,7.0,231.0,0.6066825957308777,248.74,479.74,656.26,57.77,2021-06-11,0,Profitable
H00453,C009,CT0001,2025-02-21,90,2025-05-22,T003,B002,22,1980,153,2133,7.0,630.0,0.7617848724234463,116.55,746.55,1386.45,65.0,2021-06-11,0,Profitable
H00042,C007,CT0001,2025-05-23,26,2025-06-18,T003,B002,22,572,574,1146,7.0,182.0,0.6497090074259324,372.93,916.9300000000001,229.06999999999994,19.99,2021-06-11,362,Profitable
H00337,C007,CT0001,2025-06-19,41,2025-07-30,T003,B002,22,902,352,1254,7.0,287.0,0.7056299239324364,248.38,535.38,718.62,57.31,2021-06-11,0,Profitable
H00265,C001,CT0001,2025-07-31,101,2025-11-09,T003,B002,22,2222,198,2420,7.0,707.0,0.6831689716903888,135.27,842.27,1577.73,65.2,2021-06-11,0,Profitable
H00178,C004,CT0001,2025-11-10,55,2026-01-04,T003,B002,22,1210,254,1464,7.0,385.0,0.7140335045051452,181.36,566.36,897.64,61.31,2021-06-11,0,Profitable
H00208,C006,CT0002,2024-08-11,54,2024-10-04,T004,B002,30,1620,492,2112,9.0,486.0,0.7034443547039249,346.09,832.0899999999999,1279.91,60.6,2019-11-15,0,Profitable
H00342,C004,CT0002,2024-10-27,16,2024-11-12,T004,B002,30,480,494,974,9.0,144.0,0.6842518720878397,338.02,482.02,491.98,50.51,2019-11-15,0,Profitable
H00415,C003,CT0002,2024-12-21,36,2025-01-26,T004,B002,30,1080,567,1647,9.0,324.0,0.7520056574766383,426.39,750.39,896.61,54.44,2019-11-15,0,Profitable
H00336,C008,CT0002,2025-01-27,21,2025-02-17,T004,B002,30,630,373,1003,9.0,189.0,0.6682428365238776,249.25,438.25,564.75,56.31,2019-11-15,0,Profitable
H00016,C010,CT0002,2025-02-18,63,2025-04-22,T004,B002,30,1890,312,2202,9.0,567.0,0.7949116787584709,248.01,815.01,1386.99,62.99,2019-11-15,0,Profitable
H00013,C009,CT0002,2025-08-16,49,2025-10-04,T004,B002,30,1470,222,1692,9.0,441.0,0.787578188232648,174.84,615.84,1076.1599999999999,63.6,2019-11-15,0,Profitable
H00133,C003,CT0002,2025-10-05,69,2025-12-13,T004,B002,30,2070,379,2449,9.0,621.0,0.6476820914034034,245.47,1160.47,1288.53,52.61,2019-11-15,294,Profitable
H00461,C004,CT0003,2024-08-24,22,2024-09-15,T001,B004,8,176,204,380,2.5,55.0,0.6071216866886927,123.85,178.85,201.15,52.93,2019-10-26,0,Profitable
H00004,C008,CT0003,2024-09-16,99,2024-12-24,T001,B004,8,792,307,1099,2.5,247.5,0.6248608776229717,191.83,439.33000000000004,659.67,60.02,2019-10-26,0,Profitable
H00279,C007,CT0003,2025-01-16,42,2025-02-27,T001,B004,8,336,298,634,2.5,105.0,0.6997020740958729,208.51,313.51,320.49,50.55,2019-10-26,0,Profitable
H00373,C005,CT0004,2024-05-22,42,2024-07-03,T003,B002,22,924,430,1354,7.0,294.0,0.7296073074546838,313.73,705.73,648.27,47.88,2023-06-22,98,Profitable
H00062,C008,CT0004,2024-09-22,104,2025-01-04,T003,B002,22,2288,169,2457,7.0,728.0,0.6364801118754236,107.57,835.5699999999999,1621.43,65.99,2023-06-22,0,Profitable
H00274,C002,CT0004,2025-11-17,119,2026-03-16,T003,B002,22,2618,268,2886,7.0,833.0,0.6209571117558801,166.42,999.42,1886.58,65.37,2023-06-22,0,Profitable
H00113,C001,CT0005,2024-04-08,95,2024-07-12,T003,B002,22,2090,380,2470,7.0,665.0,0.7484974290920016,284.43,949.4300000000001,1520.57,61.56,2022-06-20,0,Profitable
H00009,C005,CT0005,2024-07-13,7,2024-07-20,T003,B002,22,154,485,639,7.0,49.0,0.721477817762466,349.92,398.92,240.07999999999998,37.57,2022-06-20,0,Profitable
H00127,C009,CT0005,2025-08-02,68,2025-10-09,T003,B002,22,1496,332,1828,7.0,476.0,0.7376823767498368,244.91,961.91,866.09,47.38,2022-06-20,241,Profitable
H00347,C001,CT0005,2025-11-21,31,2025-12-22,T003,B002,22,682,407,1089,7.0,217.0,0.6212270053827402,252.84,469.84000000000003,619.16,56.86,2022-06-20,0,Profitable
H00057,C010,CT0005,2025-12-23,26,2026-01-18,T003,B002,22,572,245,817,7.0,182.0,0.589095451100862,144.33,326.33000000000004,490.66999999999996,60.06,2022-06-20,0,Profitable
H00164,C007,CT0005,2026-01-19,77,2026-04-06,T003,B002,22,1694,401,2095,7.0,539.0,0.6282904987043206,251.94,1110.94,984.06,46.97,2022-06-20,320,Profitable
H00089,C010,CT0006,2024-01-11,102,2024-04-22,T004,B004,30,3060,298,3358,9.0,918.0,0.7209385263942607,214.84,1132.84,2225.16,66.26,2022-02-04,0,Profitable
H00146,C005,CT0006,2024-05-03,104,2024-08-15,T004,B004,30,3120,330,3450,9.0,936.0,0.6280872754713784,207.27,1143.27,2306.73,66.86,2022-02-04,0,Profitable
H00399,C004,CT0006,2024-11-09,56,2025-01-04,T004,B004,30,1680,560,2240,9.0,504.0,0.5847178315991293,327.44,1008.44,1231.56,54.98,2022-02-04,177,Profitable
H00006,C010,CT0006,2025-01-05,82,2025-03-28,T004,B004,30,2460,307,2767,9.0,738.0,0.7093883161175575,217.78,955.78,1811.22,65.46,2022-02-04,0,Profitable
H00326,C006,CT0007,2024-04-26,55,2024-06-20,T001,B004,8,440,546,986,2.5,137.5,0.6172397364566178,337.01,474.51,511.49,51.88,2021-02-10,0,Profitable
H00091,C003,CT0007,2024-08-13,11,2024-08-24,T001,B004,8,88,305,393,2.5,27.5,0.7951292055002765,242.51,270.01,122.99000000000001,31.3,2021-02-10,0,Profitable
H00209,C010,CT0007,2025-06-08,43,2025-07-21,T001,B004,8,344,493,837,2.5,107.5,0.6588763635995398,324.83,795.3299999999999,41.67000000000007,4.98,2021-02-10,363,Profitable
H00291,C010,CT0007,2025-07-22,27,2025-08-18,T001,B004,8,216,437,653,2.5,67.5,0.6169441688720836,269.6,337.1,315.9,48.38,2021-02-10,0,Profitable
H00324,C006,CT0007,2025-11-08,75,2026-01-22,T001,B004,8,600,167,767,2.5,187.5,0.6682242832027263,111.59,299.09000000000003,467.90999999999997,61.01,2021-02-10,0,Profitable
H00276,C003,CT0008,2024-01-22,67,2024-03-29,T001,B001,8,536,404,940,2.5,167.5,0.5685602182470967,229.7,397.2,542.8,57.74,2023-01-28,0,Profitable
H00293,C003,CT0008,2024-06-11,98,2024-09-17,T001,B001,8,784,375,1159,2.5,245.0,0.6933373364088046,260.0,505.0,654.0,56.43,2023-01-28,0,Profitable
H00482,C009,CT0008,2024-09-18,29,2024-10-17,T001,B001,8,232,179,411,2.5,72.5,0.7017193353942326,125.61,198.11,212.89,51.8,2023-01-28,0,Profitable
H00126,C004,CT0008,2024-11-24,96,2025-02-28,T001,B001,8,768,282,1050,2.5,240.0,0.690045564593728,194.59,434.59000000000003,615.41,58.61,2023-01-28,0,Profitable
H00306,C010,CT0008,2025-08-13,97,2025-11-18,T001,B001,8,776,427,1203,2.5,242.5,0.5705517659279454,243.63,486.13,716.87,59.59,2023-01-28,0,Profitable
H00367,C003,CT0009,2024-04-12,108,2024-07-29,T003,B005,22,2376,172,2548,7.0,756.0,0.7324650772121196,125.98,881.98,1666.02,65.39,2022-03-01,0,Profitable
H00022,C008,CT0009,2024-07-30,53,2024-09-21,T003,B005,22,1166,425,1591,7.0,371.0,0.7824042307189211,332.52,703.52,887.48,55.78,2022-03-01,0,Profitable
H00037,C004,CT0009,2024-09-22,120,2025-01-20,T003,B005,22,2640,459,3099,7.0,840.0,0.7450532658575256,341.98,1181.98,1917.02,61.86,2022-03-01,0,Profitable
H00169,C010,CT0009,2025-01-21,82,2025-04-13,T003,B005,22,1804,370,2174,7.0,574.0,0.7349325830213852,271.93,845.9300000000001,1328.07,61.09,2022-03-01,0,Profitable
H00196,C008,CT0009,2025-04-14,32,2025-05-16,T003,B005,22,704,433,1137,7.0,224.0,0.6135804952945793,265.68,489.68,647.3199999999999,56.93,2022-03-01,0,Profitable
H00351,C002,CT0009,2025-08-10,13,2025-08-23,T003,B005,22,286,432,718,7.0,91.0,0.6491992117715791,280.45,371.45,346.55,48.27,2022-03-01,0,Profitable
H00406,C010,CT0010,2024-10-25,8,2024-11-02,T002,B005,12,96,235,331,3.5,28.0,0.7572544331363729,177.95,205.95,125.05000000000001,37.78,2024-10-25,0,Profitable
H00011,C005,CT0010,2025-05-12,26,2025-06-07,T002,B005,12,312,585,897,3.5,91.0,0.7368048969355094,431.03,522.03,374.97,41.8,2024-10-25,0,Profitable
H00008,C010,CT0010,2025-06-08,111,2025-09-27,T002,B005,12,1332,216,1548,3.5,388.5,0.5945631167261605,128.43,516.9300000000001,1031.07,66.61,2024-10-25,0,Profitable
H00112,C002,CT0010,2025-09-28,78,2025-12-15,T002,B005,12,936,571,1507,3.5,273.0,0.7945154544933821,453.67,726.6700000000001,780.3299999999999,51.78,2024-10-25,0,Profitable
H00281,C001,CT0010,2025-12-16,74,2026-02-28,T002,B005,12,888,289,1177,3.5,259.0,0.7693098642905501,222.33,481.33000000000004,695.67,59.11,2024-10-25,0,Profitable
H00500,C005,CT0010,2026-03-01,44,2026-04-14,T002,B005,12,528,400,928,3.5,154.0,0.7576721276300192,303.07,457.07,470.93,50.75,2024-10-25,0,Profitable
H00341,C005,CT0011,2024-01-11,17,2024-01-28,T003,B002,22,374,384,758,7.0,119.0,0.6977168603177604,267.92,478.92,279.08,36.82,2019-07-18,92,Profitable
H00001,C010,CT0011,2024-01-29,20,2024-02-18,T003,B002,22,440,231,671,7.0,140.0,0.7503417289548798,173.33,451.33000000000004,219.66999999999996,32.74,2019-07-18,138,Profitable
H00143,C004,CT0011,2024-09-17,111,2025-01-06,T003,B002,22,2442,362,2804,7.0,777.0,0.6391677435354413,231.38,1008.38,1795.62,64.04,2019-07-18,0,Profitable
